ID,ID2,BRAND,TITLE,CATEGORY,UPC,MSRP,COST
,AAPWPF550,Active Aqua,Pre-filter AWPW550,Pumps & Irrigation,638104008174,1.95,1.17
,AAPWPF800,Active Aqua,Pre-filter AAPW800,Pumps & Irrigation,638104008181,1.95,1.17
,AARD100075,Active Aqua,1in to 3/4in Reducer,Pumps & Irrigation,638104003582,2,9.97
,AARD7550,Active Aqua,3/4in to 1/2in Reducer ,Pumps & Irrigation,638104003568,0.9,4.47
,AARO100,Active Aqua,Active Aqua 100 Reverse Osmosis System,Water Filtration,638104005456,184.95,110.97
,AARO200,Active Aqua,Active Aqua 200 Reverse Osmosis System,Water Filtration,638104005463,249.95,149.97
,AARO312,Active Aqua,Active Aqua Two Stage RO,Water Filtration,638104005487,126.95,76.17
,AARO315,Active Aqua,10in Carbon and Sediment Combo Filter,Water Filtration,638104012157,6.95,4.17
,AARO410,Active Aqua,Active Aqua 10in RO-De Chlorination System,Water Filtration,638104005432,79.95,47.97
,AARO420,Active Aqua,Active Aqua 20in RO-De Chlorination System,Water Filtration,638104005449,169.95,101.97
,AARO501,Active Aqua,Active Aqua 10in Polyblown Sediment Filter,Water Filtration,638104005494,8.95,5.37
,AARO502,Active Aqua,Active Aqua 20in Polyblown Sediment Filter,Water Filtration,638104005500,12.95,7.77
,AARO610,Active Aqua,Active Aqua 10in Carbon Block Filter,Water Filtration,638104005517,13.95,8.37
,AARO620,Active Aqua,Active Aqua 20in Carbon Block Filter,Water Filtration,638104005524,28.95,17.37
,AARO701,Active Aqua,Active Aqua 100 GPD RO Membrane,Water Filtration,638104005531,58.95,35.37
,AARO802,Active Aqua,Active Aqua Float Valve w/ Wing Nut,Water Filtration,638104005593,16.95,10.17
,AAST100,Active Aqua,1in Stopper ,Pumps & Irrigation,638104003544,0.7,3.48
,AAST50,Active Aqua,1/2in Stopper,Pumps & Irrigation,638104003506,0.6,2.98
,AAST75,Active Aqua,3/4in Stopper,Pumps & Irrigation,638104003513,0.7,3.48
,AAT100,Active Aqua,1in T Connector,Pumps & Irrigation,638104005296,0.96,4.7
,AAT50,Active Aqua,1/2in T Connector,Pumps & Irrigation,638104005319,0.36,2.45
,AAT75,Active Aqua,3/4in T Connector,Pumps & Irrigation,638104005302,0.75,3.75
,AAWT2245T,Active Aqua,Flood Table for Tents 22in x 45in ,Hydro Components,638104014953,69.95,38.47
,ABBW4MIL,Hydrofarm,Black & White Poly 100'x10', 4 mil,Tents & Tarps,638104104005,82.99,49.79
,ABWP1,Hydrofarm,B&W Poly 10'x10' 5.5 mil,Tents & Tarps,638104002622,12.99,7.78
,ABWP10,Hydrofarm,Black & White Poly 100'x10', 5.5 mil,Tents & Tarps,638104105507,99.99,49.99
,ABWP25,Hydrofarm,B&W Poly 10'x25' 5.5 mil,Tents & Tarps,638104005388,29.99,16.48
,AC10F,Active Air,Active Air 10in Flange,Air Purification,638104002127,17.95,10.77
,AC12F,Active Air,Active Air 12in Flange,Air Purification,638104002134,19.95,11.97
,AC1312,Active Air,Active Air 1312 Filter Assembly,Air Purification,638104012089,134.95,80.97
,AC2016,Active Air,Active Air 2016 Filter Assembly,Air Purification,638104012072,174.95,104.97
,AC20D16,Active Air,Active Air 20in x16in Carbon Filter - No Flange,Air Purification,638104002004,149.95,80.09
,AC30D16,Active Air,Active Air 30in x16in Carbon Filter - No Flange,Air Purification,638104002028,179.95,99.78
,AC4016,Active Air,Active Air 4016 Filter Assembly,Air Purification,638104012065,224.95,134.97
,AC4F,Active Air,Active Air 4in Flange,Air Purification,638104002080,6.95,4.17
,AC5F,Active Air,Active Air 5in Flange,Air Purification,638104002097,7.95,4.77
,AC6F,Active Air,Active Air 6in Flange,Air Purification,638104002103,13.95,8.37
,AC6FW,Active Air,6in Wide Mount Flange,Air Purification,638104007764,13.95,8.37
,AC8F,Active Air,Active Air 8in Flange,Air Purification,638104002110,16.95,10.17
,AC8FW,Active Air,8in Wide Mount Flange,Air Purification,638104007788,16.95,10.17
,ACAN14,Active Air,Portable Digital AC 14000 BTU,Ventilation,638104008242,499.95,349.97
,ACBD10,Active Air,Backdraft Damper 10in ,Ventilation,638104007870,39.95,23.97
,ACBD12,Active Air,Backdraft Damper 12in ,Ventilation,638104007894,49.95,29.97
,ACBD4,Active Air,Backdraft Damper 4in ,Ventilation,638104007832,17.95,10.77
,ACBD6,Active Air,Backdraft Damper 6in ,Ventilation,638104007818,19.95,11.97
,ACBD8,Active Air,Backdraft Damper 8in ,Ventilation,638104007856,29.95,17.97
,ACBS10,Hydrofarm,Bug Shield 10 Inch,Air Purification,638104001960,14.95,8.97
,ACBS12,Hydrofarm,Bug Shield 12 Inch,Air Purification,638104001984,16.95,10.17
,ACBS4,Hydrofarm,Bug Shield 4 Inch,Air Purification,638104001915,9.95,5.97
,ACBS6,Hydrofarm,Bug Shield 6 Inch,Air Purification,638104001922,11.95,7.17
,ACBS8,Hydrofarm,Bug Shield 8 Inch,Air Purification,638104001946,13.95,8.37
,ACC10,Active Air,Stainless Steel Duct Clamps - 10in ,Ventilation,638104003711,6.95,4.17
,ACC12,Active Air,Stainless Steel Duct Clamps - 12in ,Ventilation,638104003858,9.95,5.97
,ACC4,Active Air,Stainless Steel Duct Clamps - 4in ,Ventilation,638104003780,1.95,1.17
,ACC6,Active Air,Stainless Steel Duct Clamps - 6in ,Ventilation,638104003797,2.95,1.77
,ACC8,Active Air,Stainless Steel Duct Clamps - 8in ,Ventilation,638104003803,5.95,3.57
,ACCF144,Active Air,AA 14in x4in Carbon Filter,Air Purification,638104016384,86.99,43.49
,ACCF144PF,Active Air,AA 14in x4in Pre-Filter (20/cs),Air Purification,638104018517,6.99,3.49
,ACCF166,Active Air,AA 16in x6in Carbon Filter,Air Purification,638104016391,119.99,59.99
,ACCF166PF,Active Air,AA 16in x6in Pre-Filter (20/cs),Air Purification,638104018500,9.99,4.99
,ACCF246,Active Air,AA 24in x6in Carbon Filter,Air Purification,638104016407,147.99,73.99
,ACCF246PF,Active Air,AA 24in x6in Pre-Filter (20/cs),Air Purification,638104018494,10.99,5.49
,ACCF248,Active Air,AA 24in x8in Carbon Filter,Air Purification,638104016414,161.99,80.99
,ACCF248PF,Active Air,AA 24in x8in Pre-Filter (20/cs),Air Purification,638104018487,14.99,7.49
,ACCF3910,Active Air,AA 39in x10in Carbon Filter,Air Purification,638104016360,247.99,123.99
,ACCF3910PF,Active Air,AA 39in x10in Pre-Filter (20/cs),Air Purification,638104018463,19.99,9.99
,ACCF3912,Active Air,AA 39in x12in Carbon Filter,Air Purification,638104016353,289.99,144.99
,ACCF3912PF,Active Air,AA 39in x12in Pre-Filter (20/cs),Air Purification,638104018456,20.99,10.49
,ACCF398,Active Air,AA 39in x8in Carbon Filter,Air Purification,638104016377,225.99,112.99
,ACCF398PF,Active Air,AA 39in x8in Pre-Filter (20/cs),Air Purification,638104018470,15.99,7.99
,ACCTN46,Hydrofarm,Cable Tie 48in Nat.,Garden Accessories,,2.54,76.17
,ACDC1025,Active Air,Non-Insulated Air Duct 10in -25',Ventilation,638104410250,32.95,19.77
,ACDC1025M,Active Air,Perma Duct 10in - 25 ft,Ventilation,638104003827,48.95,29.37
,ACDC1025P,Active Air,Premium Duct 10in -25',Ventilation,638104016292,30.99,18.59
,ACDC1225,Active Air,Non insulated Air Duct 12in - 25,Ventilation,638104412254,40.95,24.57
,ACDC1225M,Active Air,Perma Duct 12in - 25 ft,Ventilation,638104003810,61.95,37.17
,ACDC1225P,Active Air,Premium Duct 12in -25',Ventilation,638104016278,39.99,23.99
,ACDC1425M,Active Air,Perma Duct 14in - 25 ft.,Ventilation,638104003834,75.95,45.57
,ACDC425,Active Air,Non-Insulated Air Duct 4in -25',Ventilation,638104442503,14.95,8.97
,ACDC425M,Active Air,Perma Duct 4in - 25 ft,Ventilation,638104003841,20.95,12.57
,ACDC425P,Active Air,Premium Duct 4in -25',Ventilation,638104016285,14.99,8.99
,ACDC625,Active Air,Non-Insulated Air Duct 6in -25',Ventilation,638104462501,19.95,11.97
,ACDC625IN,Hydrofarm,Air Duct 6in -25' Insulated,Ventilation,638104002752,50.95,30.57
,ACDC625M,Active Air,Perma Duct 6in - 25 ft.,Ventilation,638104003865,29.95,17.97
,ACDC625P,Active Air,Premium Duct 6in -25',Ventilation,638104016315,19.99,11.99
,ACDC825,Active Air,Non-Insulated Air Duct 8in -25',Ventilation,638104482509,26.95,16.17
,ACDC825IN,Hydrofarm,Air Duct 8in -25' Insulated,Ventilation,638104002776,69.95,41.97
,ACDC825M,Active Air,Perma Duct 8in - 25 ft.,Ventilation,638104003889,38.95,23.37
,ACDC825P,Active Air,Premium Duct 8in -25',Ventilation,638104016308,24.99,14.99
,ACDF10,Active Air,10 inch In-Line Fan 760 CFM,Ventilation,638104003612,219.95,109.98
,ACDF12,Active Air,12 inch In-Line Duct Fan 969 CFM,Ventilation,638104010726,259.95,129.98
,ACDF4,Active Air,4 inch In-Line Fan 165 CFM,Ventilation,638104003575,104.95,52.48
,ACDF6,Active Air,6 inch In-Line Fan 400 CFM,Ventilation,638104003599,129.95,64.98
,ACDF8,Active Air,8 inch In-Line Fan 720 CFM,Ventilation,638104003605,169.95,84.98
,ACDH20A,Active Air,Dehumidifier - Analog Controls 20L Per Day,Ventilation,638104003551,274.95,164.97
,ACF16,Active Air,16in Wall Mount Oscillating Fan,Ventilation,638104412001,39.95,23.97
,ACF60,Active Air,60 CFM Active Air Blower System,Ventilation,638104007139,84.95,50.97
,ACFB10,Active Air,10in Inline Booster Fan 661cfm,Ventilation,638104003650,64.95,38.97
,ACFB6,Active Air,6in Inline Booster Fan 188cfm,Ventilation,638104003636,49.95,29.97
,ACFB8,Active Air,8in Inline Booster Fan 471cfm,Ventilation,638104003643,56.95,34.17
,ACFC6,Active Air,6in Clip On Fan,Ventilation,638104004121,19.95,11.97
,ACFP16,Active Air,Active Air Infinity Fan 16in ,Ventilation,638104010450,56.95,34.17
,ACJ10,Hydrofarm,Duct Coupler 4in ,Ventilation,638104014007,3.95,2.17
,ACJ15,Hydrofarm,Duct Coupler 6in ,Ventilation,638104013994,4.95,2.72
,ACJ20,Hydrofarm,Duct Coupler 8in ,Ventilation,638104013987,5.95,3.27
,ACJ25,Hydrofarm,Duct Coupler 10in ,Ventilation,638104013970,7.95,4.37
,ACJ30,Hydrofarm,Duct Coupler 12in ,Ventilation,638104013963,9.95,5.47
,ACJ35,Hydrofarm,Duct Coupler 14in ,Ventilation,638104013956,11.95,6.57
,ACJ40,Hydrofarm,Duct Coupler 16in ,Ventilation,638104013949,13.95,7.67
,ACPF13D12,Active Air,Pre-Filter for AC13D12,Air Purification,638104002349,4.95,2.97
,ACPF18D5,Active Air,Pre-Filter for AC18D5,Air Purification,638104002325,4.95,2.97
,ACPF20D16,Active Air,Pre-Filter for AC20D16,Air Purification,638104002356,6.95,4.17
,ACPF25D5,Active Air,Pre-Filter for AC25D5,Air Purification,638104002332,4.95,2.97
,ACPF30D16,Active Air,Pre-Filter for AC30D16,Air Purification,638104002370,10.95,6.57
,ACPF40D16,Active Air,Pre-Filter for AC40D16,Air Purification,638104002387,13.95,8.37
,ACPF60D16,Active Air,Pre-Filter for AC60D16,Air Purification,638104002400,18.95,11.37
,ACR0504,Hydrofarm,Reducer - 5in to 4in ,Ventilation,638104006910,9.95,5.97
,ACR0604,Hydrofarm,Reducer 6in - 4in ,Ventilation,638104003896,10.95,6.57
,ACR0605,Hydrofarm,Reducer - 6in to 5in ,Ventilation,638104006958,10.95,6.57
,ACR0806,Hydrofarm,Reducer 8in - 6in ,Ventilation,638104003902,11.95,7.17
,ACR1008,Hydrofarm,Reducer 10in - 8in ,Ventilation,638104003919,13.95,8.37
